product_id,price_brl,name,category_id,description,stock_quantity,status,specs,created_at
81,599.9,Yamaha C40 Nylon Natural,5,"Violão clássico com tampo em Spruce e fundo/laterais em Meranti. Ideal para estudantes e iniciantes, com excelente projeção sonora.",12,active,"{""top"":""Spruce"",""back_sides"":""Meranti"",""neck"":""Nato"",""strings"":""nylon"",""scale"":""650mm"",""electronics"":""no"",""color"":""Natural""}",2021-03-15
82,849,Yamaha C70 Nylon Natural,5,Violão clássico de nível intermediário com tampo em Spruce sólido. Acabamento de alta qualidade e timbre equilibrado.,8,active,"{""top"":""Spruce Sólido"",""back_sides"":""Nato"",""neck"":""Nato"",""strings"":""nylon"",""scale"":""650mm"",""electronics"":""no"",""color"":""Natural""}",2021-06-20
83,429.9,Tagima Memphis AC-39 Nylon Natural,5,"Violão clássico com cordas de nylon, perfeito para quem está começando. Corpo leve e confortável para longas sessões de estudo.",15,active,"{""top"":""Linden"",""back_sides"":""Linden"",""neck"":""Nato"",""strings"":""nylon"",""scale"":""650mm"",""electronics"":""no"",""color"":""Natural""}",2020-08-10
84,689,Giannini GN-15 Nylon Cedr Natural,5,"Violão clássico Giannini com tampo em cedro. Sonoridade quente e encorpada, excelente custo-benefício para estudantes avançados.",6,active,"{""top"":""Cedro"",""back_sides"":""Sapele"",""neck"":""Cedro"",""strings"":""nylon"",""scale"":""650mm"",""electronics"":""no"",""color"":""Natural""}",2022-01-05
85,459.9,Rozini RC-104 Nylon Estudante,5,"Violão clássico de estudo da Rozini, feito com madeiras nacionais. Acabamento caprichado e preço acessível para iniciantes.",10,active,"{""top"":""Spruce"",""back_sides"":""Sapele"",""neck"":""Nato"",""strings"":""nylon"",""scale"":""650mm"",""electronics"":""no"",""color"":""Natural""}",2020-04-22
86,749,Tagima Dallas Tuner Aço Natural,5,"Violão folk com cordas de aço e afinador integrado. Corpo confortável e som brilhante, ideal para acompanhamento vocal.",9,active,"{""top"":""Spruce"",""back_sides"":""Sapele"",""neck"":""Nato"",""strings"":""steel"",""scale"":""648mm"",""electronics"":""no"",""color"":""Natural""}",2021-09-14
87,699.9,Yamaha F310 Aço Natural,5,Violão folk aço Yamaha com corpo robusto e timbre encorpado. Um dos modelos mais vendidos do mundo para iniciantes e intermediários.,14,active,"{""top"":""Spruce"",""back_sides"":""Meranti"",""neck"":""Nato"",""strings"":""steel"",""scale"":""634mm"",""electronics"":""no"",""color"":""Natural""}",2020-11-30
88,579.9,Giannini GF-1R Aço Folk Sunburst,5,Violão folk com tampo em Spruce e acabamento Sunburst clássico. Som equilibrado e visual elegante para palco e estúdio.,7,active,"{""top"":""Spruce"",""back_sides"":""Sapele"",""neck"":""Nato"",""strings"":""steel"",""scale"":""648mm"",""electronics"":""no"",""color"":""Sunburst""}",2022-05-18
89,549,Shelby SN-100 Folk Aço Preto,5,Violão folk aço com visual moderno em preto. Indicado para quem busca um instrumento versátil com boa relação custo-benefício.,5,active,"{""top"":""Linden"",""back_sides"":""Linden"",""neck"":""Nato"",""strings"":""steel"",""scale"":""648mm"",""electronics"":""no"",""color"":""Preto""}",2023-02-10
90,2399,Crafter HT-100 Folk Aço Natural,5,Violão folk de alta qualidade com tampo sólido em Spruce Engelmann. Projeção sonora superior e acabamento impecável.,3,active,"{""top"":""Spruce Engelmann Sólido"",""back_sides"":""Mogno"",""neck"":""Mogno"",""strings"":""steel"",""scale"":""648mm"",""electronics"":""no"",""color"":""Natural""}",2021-07-25
