order_id,customer_id,order_date,status,total_brl,payment_method,tracking_code,estimated_delivery,notes
1,3,2025-10-15,delivered,11499,pix,BRAB1234567BR,2025-10-25,
2,7,2025-11-02,delivered,5999,credit_6x,BRCX9876543BR,2025-11-15,
3,12,2025-11-20,delivered,3450,credit_12x,BRDZ4561230BR,2025-12-05,
4,1,2025-12-10,delivered,799.9,boleto,BRQM7890123BR,2025-12-22,
5,5,2026-01-05,delivered,4599,pix,BRTP3456789BR,2026-01-18,
6,9,2026-01-18,delivered,7499,credit_12x,BRVN6543210BR,2026-02-01,
7,14,2026-02-03,delivered,159.9,credit_3x,BRKR1122334BR,2026-02-17,
8,2,2026-02-15,shipped,349.9,debit,BRJL5544332BR,2026-02-28,
9,6,2026-02-20,confirmed,349.9,credit_6x,,,
10,11,2026-02-25,confirmed,8732,pix,,,
11,4,2026-03-05,confirmed,359,boleto,,,
12,16,2026-03-10,confirmed,599,credit_3x,,,
13,8,2026-03-12,pending,1899,pix,,,
14,13,2026-03-15,pending,1749,debit,,,
15,18,2026-03-18,pending,8348,credit_12x,,,
16,10,2026-03-22,pending,429.9,credit_6x,,,
17,15,2026-01-28,cancelled,689,pix,,,Pedido cancelado pelo cliente antes do processamento
18,17,2026-02-08,cancelled,459.9,credit_12x,,,Item fora de estoque no momento do pedido
19,3,2026-02-22,cancelled,7499,boleto,,,Pagamento não confirmado dentro do prazo
20,7,2026-03-08,cancelled,1400,credit_3x,,,Endereço de entrega inválido informado pelo cliente
